mlbam_id,full_name
670541,Yordan Álvarez
669372,J. T. Ginn
502671,Paul Goldschmidt
668804,Bryan Reynolds
694384,Nolan Schanuel
656308,Michael Chavis
668984,Casey Legumina
668845,Aaron Schunk
663886,Tyler Stephenson
664351,Luis Contreras
804606,Konnor Griffin
692030,Jose Corniell
694371,Tommy Troy
596133,Luke Weaver
666158,Gavin Lux
673237,Yainer Diaz
678394,Brayan Bello
663558,Jovani Morán
665161,Jeremy Peña
640458,Óscar Mercado
694497,Evan Carter
670223,Matt Mervis
663432,Tanner Rainey
681402,Gus Varland
678821,Luis Peralta
642180,Tyler Wade
691799,Grant Taylor
621458,Edwin Ríos
502054,Tommy Pham
518792,Jason Heyward
676534,Calvin Faucher
642759,Julian Fernández
667472,Dane Myers
676282,Joey Cantillo
656976,Pavin Smith
607192,Tyler Glasnow
596271,Casey Lawrence
671155,Ivan Johnson
676760,Ron Marinaccio
656986,Bennett Sousa
699151,Jedixson Paez
675848,Juan Mejia
676694,Jake Meyers
811965,Joshua Kuroda-Grauer
682988,Tyler Locklear
660766,Juan Yepez
805373,Nacho Alvarez
672761,Wenceel Pérez
670351,José Rojas
669722,Logan Davidson
672580,Maikel García
622554,Seranthony Domínguez
801139,Payton Tolle
642547,Freddy Peralta
806068,Colt Emerson
702021,Will Dion
670329,Rico Garcia
678606,José Ferrer
695418,Brad Lord
810938,Ben Williamson
663773,Bryan Hoeing
669212,Eli Morgan
668472,Nick Pratto
623149,Paul Sewald
682657,Angel Martínez
682626,Francisco Álvarez
686752,Ryan Pepiot
676879,Aaron Ashby
663567,Peter Lambert
605483,Blake Snell
608369,Corey Seager
657044,Ryan Thompson
699008,Antwone Kelly
804267,Zach Thornton
691907,Tsung-Che Cheng
702222,Justin Crawford
624512,Reese Mcguire
662139,Daulton Varsho
676568,Ricky Vanasco
806960,Luis Morales
669060,Bryse Wilson
689147,Orion Kerkering
685107,Anthony Veneziano
664141,Jt Brubaker
670102,Bowden Francis
669720,Austin Hays
681343,Shane Smith
641933,Tyler O'Neill
592885,Christian Yelich
699013,Esmerlyn Valdez
687799,Cade Marlowe
686747,Joe La Sorsa
645444,José Herrera
681432,Luke Little
672282,Reid Detmers
681168,Luis Curvelo
664126,Pete Fairbanks
802419,Tom Harrington
678218,Brandon Valenzuela
650489,Willi Castro
690829,Ben Joyce
666163,Ben Rortvedt
682120,Tim Herrin
669199,Lake Bachar
621366,Ryan Borucki
621107,Zach Eflin
676969,Brett De Geus
663485,Cole Sands
607179,Jordan Weems
656811,Ryan O'Hearn
641487,J. P. Crawford
607208,Trea Turner
683090,Matthew Lugo
669020,Ryan Rolison
663372,Ryan Feltner
678545,Osleivis Basabe
680474,Max Schuemann
664299,Cristian Javier
608665,Kendall Graveman
666661,Juan Morillo
572233,Christian Walker
700712,Walbert Ureña
669308,Sean Reynolds
657077,Alex Verdugo
573009,Joe Mantiply
642215,Weston Wilson
669724,Brenan Hanifee
681006,Josh Simpson
608717,Chris Stratton
677592,Everson Pereira
677952,Braxton Ashcraft
669717,Will Wilson
664731,P. J. Higgins
621006,Richie Martin
681909,Justin Dean
668390,Cole Winn
572191,Michael Taylor
656257,Jeff Brigham
607481,Aaron Bummer
667755,José Soriano
622761,Jorge Mateo
691176,Jasson Domínguez
545358,Max Stassi
596117,Garrett Stubbs
665926,Andrés Giménez
607536,Kyle Freeland
667463,John King
676051,Codi Heuer
594902,Ben Lively
668930,Brice Turang
666201,Alek Manoah
657136,Connor Wong
622256,Patrick Weigel
642207,Devin Williams
677800,Wilyer Abreu
700187,Troy Taylor
699823,Tyler Davis
543877,Christian Vázquez
700413,Tyler Uberstine
683953,Travis Bazzana
669699,Braden Shewmake
656420,J. P. Feyereisen
665953,Andrés Chaparro
672391,Kaleb Ort
669707,Jared Triolo
541640,Erasmo Ramírez
663158,Robert Suarez
663462,Isaiah Campbell
668943,Ryan Miller
837227,Tatsuya Imai
668904,Royce Lewis
682985,Riley Greene
687231,Darell Hernaiz
677955,Jaden Hill
691594,Javier Sanoja
702352,Spencer Bivens
676701,Alan Trejo
518886,Craig Kimbrel
669360,Trei Cruz
681799,Ethan Roberts
683748,Victor Mesa
666374,Matt Brash
672642,Steward Berroa
688107,Robert Gasser
666126,Carlos Cortes
691945,Carter Baumler
696285,Jacob Young
600917,José Leclerc
519317,Giancarlo Stanton
663604,Brandon Lockridge
694397,Marco Raya
656731,Tylor Megill
644433,Chadwick Tromp
624641,Edmundo Sosa
578428,Jose Iglesias
700241,Michael Mcgreevy
802408,Brycen Mautz
666139,Josh Lowe
669193,Jack Little
642016,Daniel Robert
680837,Ryan Fitzgerald
656212,Charlie Barnes
700250,Ben Rice
642232,Ryan Yarbrough
672356,Gabriel Arias
519151,Ryan Pressly
681624,Andy Pages
656641,Jacob Latz
656820,Nicholas Padilla
641313,Tim Anderson
701358,Cam Smith
689254,Mason Fluharty
691094,Randy Wynne
682175,Joe Jacques
624424,Michael Conforto
671732,Lawrence Butler
695731,Braden Montgomery
687749,Jase Bowen
650559,Bryan De La Cruz
693312,Kyle Nicolas
624415,Cavan Biggio
696030,Alejandro Osuna
650968,Yohel Pozo
665795,Edward Cabrera
666624,Christopher Morel
677651,Luis García
622786,Jesús Tinoco
656818,Connor Overton
667452,Corey Julks
665645,Kervin Castro
686555,Isaac Collins
694795,Josh Ekness
650960,Daniel Duarte
680573,Simeon Woods Richardson
672724,Oswald Peraza
621466,Dj Stewart
663321,Nick Hernandez
693307,Dillon Dingler
605138,Wes Benjamin
543510,James Mccann
681857,Reese Olson
489446,Kirby Yates
647315,Zach Pop
678246,Miguel Vargas
666397,Edouard Julien
661395,Jhoan Durán
680776,Jarren Duran
687396,Brent Headrick
681252,Jack Anderson
448179,Rich Hill
680577,Dashawn Keirsey
641755,Tyler Kinley
646240,Rafael Devers
676680,Tom Cosgrove
692585,Yanquiel Fernández
676679,Luis Vázquez
670231,John Rave
693686,Spencer Miles
805427,Drew Sommers
678391,Jorbit Vivas
622088,Tejay Antone
664192,Joey Lucchesi
674944,Sean Guenther
506702,Sandy León
608372,Tomoyuki Sugano
687562,Jake Bennett
806185,Hayden Birdsong
669289,Santiago Espinal
691785,Marcelo Mayer
668716,Noah Murdock
687529,Grant Mccray
670092,Trenton Brooks
622491,Luis Castillo
640492,José Azócar
687462,Spencer Horwitz
647336,Michael Soroka
664875,Justin Lawrence
669459,Kyle Nelson
680777,Ryan Jeffers
646242,Jhonathan Díaz
669261,Jack Suwinski
683357,Owen Caissie
643410,Mark Leiter
641680,Jonah Heim
669395,Dylan Coleman
650671,José Quijada
592663,J. T. Realmuto
690976,Alex Freeland
682610,Roddery Muñoz
691182,Adael Amador
694851,Andrew Hoffmann
680916,Franco Aleman
